##########################################################################################################
# This comment is auto generated by data_analysis.py script from https://github.com/lazicdanilo/LPM01A-lib
# It is used for caching the already calculated data. This comment should not be modified.
# If removed it will be re-created on next run of the script.
#
# This will only be generated if the calculation is done for the
# whole CSV file (flags -s, --start and -e, --end are not used)
#
# Generated on: 03-03-2024_10:42:08
# Calculation time window: 4.717438 s (4717.437999999999 ms)
# Number of values: 4720
# Average current consumption: 7.347662577893055e-06 Ah (0.007347662577893055 mAh)
##########################################################################################################
Current (uA),rx timestamp (us),board timestamps (ms)
13.34,813757,282000
13.33,814168,282000
13.33,816381,282000
13.33,816790,282000
13.33,817754,282000
13.35,818164,282000
13.33,820379,282000
15.55,820787,282000
13.33,821760,282000
13.33,822172,282000
13.33,824381,282000
16.66,824813,282000
13.33,825757,282000
13.33,826168,282000
13.34,828379,282000
15.55,828791,282000
13.33,829755,282000
13.33,830165,282000
16.6,831129,282000
13.33,831537,282000
13.33,833781,282000
13.33,834191,282000
13.33,835133,282000
13.34,835543,282000
13.34,837754,282000
13.33,838162,282000
13.33,839128,282000
15.55,839538,282000
13.41,841754,282000
13.41,842165,282000
13.33,843128,282000
13.33,843565,282000
13.66,845756,282000
16.62,846166,282000
14.19,847133,282000
15.8,847543,282000
18.88,849756,282000
14.1,850165,282000
16.92,851128,282000
14.07,851539,282000
15.55,853784,282000
13.66,854195,282000
14.16,855135,282000
16.29,855543,282000
13.67,857756,282000
13.33,858164,282000
13.33,859129,282000
15.8,859537,282000
16.32,861755,282000
13.33,862163,282000
13.33,863129,282000
15.89,863538,282000
13.36,865755,282000
13.44,866165,282000
15.56,867128,282000
13.33,867536,282000
13.36,869757,282000
16.55,870167,282000
13.33,871129,282000
13.33,871541,282000
13.33,873784,282000
13.33,874194,282000
13.33,875131,282000
13.33,875540,282000
13.33,877755,282000
13.33,878165,282000
13.35,879130,282000
13.33,879540,282000
13.33,881755,282000
13.33,882165,282000
13.33,883130,282000
13.33,883538,282000
13.33,885759,282000
13.33,886169,282000
13.33,887128,282000
13.33,887538,282000
13.33,889754,282000
13.33,890164,282000
13.33,891129,282000
13.33,891538,282000
13.33,893756,282000
13.41,894189,282000
13.33,895131,282000
13.33,895541,282000
15.55,897761,282000
13.33,898172,282000
13.33,899131,282000
13.33,899540,282000
13.41,901757,282000
13.33,902166,282000
13.33,903130,282000
13.33,903539,282000
13.33,905757,282000
13.33,906168,282000
13.33,907128,282000
13.33,907536,282000
13.33,909757,282000
13.66,910166,282000
13.59,911129,282000
14.32,911538,282000
13.33,913754,282000
15.58,914190,282000
14.43,915133,282000
13.33,915542,282000
13.33,916507,282000
13.33,916916,282000
13.33,919130,282000
13.33,919540,282000
13.33,920505,282000
13.33,920914,282000
13.33,923133,282000
13.33,923542,282000
13.33,924507,282000
13.33,924942,282000
13.33,927130,282000
13.33,927540,282000
13.33,928505,282000
13.33,928913,282000
14.06,931129,282000
